Source,Source_Type,Fire_Category,Souce_ID,Fire_Name,DateTime,Latitude,Longitude,Magnitude,Cause_or_Type
FF,FO,WF,5202,22,2005-08-20T02:55:00Z,47.18611111,-113.47583333,0.01,11
FF,FO,WF,5204,VEGETABLE,2005-07-27T19:00:00Z,47.32972222,-115.26222222,0.34,2
FF,FO,WF,5205,GRAHAM GULCH,2005-07-27T21:30:00Z,47.37472222,-115.03888889,1.0,2
FF,FO,WF,5206,WESTFORK CAMPFIRE,2005-08-20T20:25:00Z,47.29972222,-113.5775,0.01,9
FF,FO,WF,5209,CAMEL'S HUMP,2005-07-27T22:10:00Z,47.35527778,-115.1875,0.36,12
FF,FO,WF,5211,OLD ALVA,2005-09-06T21:00:00Z,47.31361111,-113.57777778,0.01,10
FF,FO,WF,5212,MOON PEAK,2005-08-01T04:00:00Z,47.31833333,-115.26138889,0.25,1
FF,FO,WF,5219,SMOKEY BEAR,2005-08-02T02:00:00Z,47.12444444,-114.91861111,0.1,1
FF,FO,WF,5225,COLD JOE,2005-08-03T02:45:00Z,47.2475,-115.15694444,0.33,1
FF,FO,WF,5228,BIG CREEK,2005-08-01T19:00:00Z,47.34388889,-115.41555556,0.25,1
FF,FO,WF,5231,SMOKING SADDLE,2005-08-03T16:45:00Z,47.25416667,-114.96666667,0.1,1
FF,FO,WF,5235,BIG MAC,2005-08-03T23:00:00Z,47.35583333,-115.40833333,0.25,1
FF,FO,WF,5238,PROSPECT,2005-08-06T20:51:00Z,47.05,-115.01138889,3200.0,1
FF,FO,WF,5442,KEYSTONE,2005-02-28T22:30:00Z,47.26138889,-114.90861111,26.0,12
FF,FO,WF,5447,BEAR GULCH,2005-08-06T21:30:00Z,47.1175,-114.96055556,0.1,1
FF,FO,WF,5460,SPECT,2005-08-13T16:30:00Z,47.02888889,-114.99527778,0.1,1
FF,FO,WF,5462,COUNTY LINE,2005-08-26T22:23:00Z,47.34277778,-114.97111111,0.1,8
FF,FO,WF,5463,LOOK OUT,2005-08-27T21:05:00Z,47.45,-115.69333333,0.1,4
FF,FO,WF,5466,FOOTBALL,2005-09-01T02:10:00Z,47.25333333,-115.05916667,0.1,8
FF,FO,WF,7246,STONEMAN,2006-05-20T02:50:00Z,47.31805556,-114.93222222,0.7,1
FF,FO,WF,7711,ROMAN CREEK,2006-04-24T21:15:00Z,47.04472222,-114.23972222,0.38,7
